span,value
00:00-01:00,2757
01:00-02:00,1886
02:00-03:00,1541
03:00-04:00,1191
04:00-05:00,1169
05:00-06:00,1176
06:00-07:00,1272
07:00-08:00,1729
08:00-09:00,2603
09:00-10:00,3018
10:00-11:00,4045
11:00-12:00,4463
12:00-13:00,4133
13:00-14:00,3703
14:00-15:00,3763
15:00-16:00,3653
16:00-17:00,3793
17:00-18:00,4721
18:00-19:00,4950
19:00-20:00,4349
20:00-21:00,4435
21:00-22:00,4407
22:00-23:00,3748
23:00-24:00,3089
