span,value
00:00-01:00,7099
01:00-02:00,4893
02:00-03:00,3911
03:00-04:00,866
04:00-05:00,2956
05:00-06:00,3647
06:00-07:00,4809
07:00-08:00,7669
08:00-09:00,12054
09:00-10:00,14633
10:00-11:00,14604
11:00-12:00,15126
12:00-13:00,13364
13:00-14:00,13372
14:00-15:00,13298
15:00-16:00,13247
16:00-17:00,13311
17:00-18:00,14749
18:00-19:00,15742
19:00-20:00,13128
20:00-21:00,13264
21:00-22:00,13036
22:00-23:00,11048
23:00-24:00,9095
