span,value
00:00-01:00,4342
01:00-02:00,3007
02:00-03:00,2370
03:00-04:00,1675
04:00-05:00,1787
05:00-06:00,2471
06:00-07:00,3537
07:00-08:00,5940
08:00-09:00,9451
09:00-10:00,11615
10:00-11:00,10559
11:00-12:00,10663
12:00-13:00,9231
13:00-14:00,9669
14:00-15:00,9535
15:00-16:00,9594
16:00-17:00,9518
17:00-18:00,10028
18:00-19:00,10792
19:00-20:00,8779
20:00-21:00,8829
21:00-22:00,8629
22:00-23:00,7300
23:00-24:00,6006
