span,value
0,2757
1,1886
2,1541
3,1191
4,1169
5,1176
6,1272
7,1729
8,2603
9,3018
10,4045
11,4463
12,4133
13,3703
14,3763
15,3653
16,3793
17,4721
18,4950
19,4349
20,4435
21,4407
22,3748
23,3089
